Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Nodule,0.0,0.0,0.15567699701370244
Nodule,0.1,0.015567699701370244,0.15567699701370244
Nodule,0.2,0.031135399402740488,0.15567699701370244
Nodule,0.3,0.04670309910411073,0.15567699701370244
Nodule,0.4,0.062270798805480976,0.15567699701370244
Nodule,0.5,0.07783849850685122,0.15567699701370244
Nodule,0.6,0.09340619820822146,0.15567699701370244
Nodule,0.7,0.10897389790959171,0.15567699701370244
Nodule,0.8,0.12454159761096195,0.15567699701370244
Nodule,0.9,0.1401092973123322,0.15567699701370244
