Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Nodule,0.0,0.0,0.3261540453671768
Nodule,0.1,0.03261540453671768,0.3261540453671768
Nodule,0.2,0.06523080907343536,0.3261540453671768
Nodule,0.3,0.09784621361015304,0.3261540453671768
Nodule,0.4,0.1304616181468707,0.3261540453671768
Nodule,0.5,0.1630770226835884,0.3261540453671768
Nodule,0.6,0.19569242722030608,0.3261540453671768
Nodule,0.7,0.22830783175702374,0.3261540453671768
Nodule,0.8,0.2609232362937414,0.3261540453671768
Nodule,0.9,0.2935386408304591,0.3261540453671768
