Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Rhizosphere,0.0,0.0,15.173340238894875
Rhizosphere,0.1,1.5173340238894877,15.173340238894875
Rhizosphere,0.2,3.0346680477789754,15.173340238894875
Rhizosphere,0.3,4.552002071668462,15.173340238894875
Rhizosphere,0.4,6.069336095557951,15.173340238894875
Rhizosphere,0.5,7.5866701194474375,15.173340238894875
Rhizosphere,0.6,9.104004143336924,15.173340238894875
Rhizosphere,0.7,10.621338167226412,15.173340238894875
Rhizosphere,0.8,12.138672191115901,15.173340238894875
Rhizosphere,0.9,13.656006215005387,15.173340238894875
