Species,Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Pseudomonas stutzeri,Bulk soil,0.0,0.0,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.05,0.7586670119442074,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.1,1.5173340238884148,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.15,2.2760010358326217,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.2,3.0346680477768295,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.25,3.7933350597210365,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.3,4.552002071665243,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.35,5.310669083609451,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.4,6.069336095553659,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.45,6.8280031074978655,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.5,7.586670119442073,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.55,8.34533713138628,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.6,9.104004143330487,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.65,9.862671155274695,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.7,10.621338167218902,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.75,11.38000517916311,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.8,12.138672191107318,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.85,12.897339203051523,15.173340238884146
Pseudomonas stutzeri,Bulk soil,0.9,13.656006214995731,15.173340238884146
Pseudomonas stutzeri,Rhizosphere,0.0,0.0,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.05,0.7586670119447438,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.1,1.5173340238894877,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.15,2.276001035834231,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.2,3.0346680477789754,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.25,3.7933350597237188,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.3,4.552002071668462,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.35,5.310669083613206,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.4,6.069336095557951,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.45,6.828003107502694,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.5,7.5866701194474375,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.55,8.345337131392181,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.6,9.104004143336924,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.65,9.862671155281669,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.7,10.621338167226412,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.75,11.380005179171157,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.8,12.138672191115901,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.85,12.897339203060643,15.173340238894875
Pseudomonas stutzeri,Rhizosphere,0.9,13.656006215005387,15.173340238894875
Pseudomonas stutzeri,Nodule,0.0,0.0,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.05,0.01630770226835884,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.1,0.03261540453671768,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.15,0.04892310680507652,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.2,0.06523080907343536,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.25,0.0815385113417942,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.3,0.09784621361015304,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.35,0.11415391587851187,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.4,0.1304616181468707,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.45,0.14676932041522955,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.5,0.1630770226835884,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.55,0.17938472495194724,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.6,0.19569242722030608,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.65,0.21200012948866492,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.7,0.22830783175702374,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.75,0.2446155340253826,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.8,0.2609232362937414,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.85,0.2772309385621003,0.3261540453671768
Pseudomonas stutzeri,Nodule,0.9,0.2935386408304591,0.3261540453671768
