Environment,Fraction,Growth_rate,N2_rate_mmol_gDW_h
Nodule,0.0,0.0,375.23955000000035
Nodule,0.1,0.048295511813379766,374.97701276318463
Nodule,0.2,0.09659102362675953,374.7144755263158
Nodule,0.3,0.1448865354401393,374.45193828947464
Nodule,0.4,0.19318204725351906,374.18940105263215
Nodule,0.5,0.24147755906689883,373.92686381579165
Nodule,0.6,0.2897730708802786,373.66432657894705
Nodule,0.7,0.33806858269365836,373.40178934210456
Nodule,0.8,0.3863640945070381,373.139252105264
Nodule,0.9,0.4346596063204179,372.8767148684228
