Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Nodule,0.0,0.0,0.48295511813379766
Nodule,0.1,0.048295511813379766,0.48295511813379766
Nodule,0.2,0.09659102362675953,0.48295511813379766
Nodule,0.3,0.1448865354401393,0.48295511813379766
Nodule,0.4,0.19318204725351906,0.48295511813379766
Nodule,0.5,0.24147755906689883,0.48295511813379766
Nodule,0.6,0.2897730708802786,0.48295511813379766
Nodule,0.7,0.33806858269365836,0.48295511813379766
Nodule,0.8,0.3863640945070381,0.48295511813379766
Nodule,0.9,0.4346596063204179,0.48295511813379766
