Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Rhizosphere,0.0,0.0,105.49561009236805
Rhizosphere,0.1,10.549561009236806,105.49561009236805
Rhizosphere,0.2,21.09912201847361,105.49561009236805
Rhizosphere,0.3,31.648683027710415,105.49561009236805
Rhizosphere,0.4,42.19824403694722,105.49561009236805
Rhizosphere,0.5,52.74780504618403,105.49561009236805
Rhizosphere,0.6,63.29736605542083,105.49561009236805
Rhizosphere,0.7,73.84692706465763,105.49561009236805
Rhizosphere,0.8,84.39648807389445,105.49561009236805
Rhizosphere,0.9,94.94604908313126,105.49561009236805
